age,country,director,film_length,img,language,score,screenwriter,summary,title,to_star,type
2020-02-14,瑞典 / 挪威 / 比利时,约阿希姆·赫登,80,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2622486285.jpg,瑞典语 / 挪威语,6.4,约阿希姆·赫登,挪威的一次冬季潜水之旅变成了两姐妹的惊魂之旅，在潜水过程中其中一人被落石困在了海底，此时必须与时间赛跑，因为氧气在悄悄的流失。,破浪而出 Breaking Surface,莫娅·甘默尔/玛德琳·马丁/特赖因·威根,剧情/动作/惊悚
片长:,中国大陆,周圣崴,又,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2611820311.jpg,汉语普通话,7.5,彭锋/周圣崴,《女他》之后“我”陷入创作瓶颈，在采访身边艺术家朋友如何突破瓶颈期之际，偶然在一间艺术家工作室里撞见一具姿势诡异的艺术家尸体，在好奇心和创作欲的驱使下，“我”开始拿着摄影机调查这个死去的艺术家，随之而来的事情也变得越来越奇怪和……不可控……,艺术死了,刘刚/杨卫/郑林,剧情/悬疑
片长:,印度,Homi Adajania,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2585940954.jpg,印地语,6.6,Bhavesh Mandalia/Gaurav Shukla/Vinay Chhawal/Sara Bodinar,电影讲述了一位父亲与他渴望出国留学的女儿之间的故事，同时展现了父亲为实现女儿的梦想面临的种种困难，以及想方设法克服困难的过程。,起跑线2 Angrezi Medium,伊尔凡·可汗/卡琳娜·卡普尔/Radhika Madan,剧情/喜剧
片长:,中国大陆,张浩,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2617976005.jpg,汉语普通话,6.6,阚犇犇/郑胖/李阳/张涛/董政/吴尔渥/李野/蓝波/郑子好/李超龙,大伟，夜班出租车司机。一夜大伟偶遇同学，经引诱喝了酒，导致途中意外撞人。大伟虽然内心恐惧但还是选择自首，谁知这个案件却引出了另一起恶性刑事案件，大伟主动协助警方破获案件，同时也完成了对自己心灵的救赎。,四平青年之三傻罪途,阚犇犇/郑胖/李阳,剧情/喜剧/犯罪
2019-12-27,中国大陆,李少红,103,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2576622878.jpg,汉语普通话,4.7,史建全/李萌,1949年1月，中国人民解放军将国民党50万军队围困于平津地区，总攻在即。是否能和平解放北平，取决于天津一战。此时的天津城内，暗堡、工事林立，士兵荷枪实弹进入状态，大战前的天津城已是一座炼狱。为了总攻的发动扫平道路，解放军炮兵侦察连连长蔡兴福、侦察兵马宝树、报务员廖枫、炮兵见习参谋葛贵忱四人临危受命，组成解放炮兵侦察别动队，乔装潜入天津城。此时，负责转移北平守军眷属的国军军需官姚哲在宪兵营长钱卓群的暗算下成为通缉犯，带女儿出逃时恰好与进城的蔡兴福一行人相遇，蔡兴福挟持姚哲欲完成任务。随着目标任务的逐步明晰，姚哲被暗算背后的秘密、钱卓群企图破坏北平和谈的阴谋、蔡兴福失踪儿子的下落都渐渐浮现出来……,解放·终局营救,周一围/钟汉良/钟楚曦,剧情/历史/战争
片长:,日本,游川和彦,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2581063838.jpg,日语,6.2,游川和彦,本片讲述了互相怀有好感的弥生（波瑠）与太郎（成田凌）两位主角从十几岁到五十岁的半生。他们在几十年里各自结婚生子，却又遇到各种困难，然而两人总是相互陪伴，不曾远离。,弥生、三月：爱你30年 弥生、三月 -君を愛した30年-,波瑠/成田凌/杉咲花,爱情
片长:,美国,加文·欧康诺,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2584332087.jpg,英语,6.7,布拉德·英格尔斯比/加文·欧康诺,一个曾经的篮球明星在与酒瘾作斗争时失去了妻子与家庭，为了能够找回自我选择回到母校为一支高中篮球队做教练，同时也要继续防止自己再次被酒瘾控制。,回归之路 The Way Back,本·阿弗莱克/詹妮娜·加万卡/麦可拉·沃金丝,剧情/运动
2020-03-13,美国,朱莉·哈特,103,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597603729.jpg,英语,6.8,克里斯汀·哈恩/约旦·霍洛维茨/Jerry Spinelli,讲述一个海鸥乔纳森一般无拘无束、有自己信念的“怪女孩”Stargirl(VanderWaal饰演)，她也会弹尤克里里，会在每一个同学生日时自弹自唱为他们献上生日歌。,星星女孩 Stargirl,吉安卡罗·埃斯波西托/达比·斯坦奇菲尔德/卡兰·布拉尔,剧情/喜剧/爱情
2019-12-27,印度,拉吉·梅塔,131,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574697967.jpg,印地语 / 英语,6.6,乔蒂·卡普尔/里沙卜·沙玛/拉吉·梅塔,"印度孟买，结婚七年一直没有孩子汽车销售员巴特拉·瓦伦与新闻女记者迪普提，决定到医院人工授精。在已经移植成功后，医院告知精子与另一对叫巴特拉的搞混。瓦伦很伤心，一度不想要这个孩子要求迪普提打胎。另一对巴特拉夫妻担心堕胎，赶紧搬到瓦伦家楼上。两对夫妻从开始的冲突，到后期的和谐相处。

　　七月后，另一对巴特拉妻子早产一女儿。再过二月后，迪普提生下一儿子。

　　受精医院的院长及妻子的宣传视频上，给病人受精成功就是“好消息”GoodNews，片名是直译。可能香港的片名：BB驾到，翻译得更好",好消息 Good Newwz,阿克谢·库玛尔/卡琳娜·卡普尔/迪尔吉特·多桑,剧情/喜剧/爱情
片长:,日本,佐藤东弥,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572823044.jpg,日语,5.4,福本伸行/德永友一,2020年，在东京奥运结束后，日本的景气突急速低迷，变成贫穷的弱者能轻易被击垮的社会。被派遣公司当成傻子，领微薄的薪水过着堕落生活的伊藤开司（藤原龙也饰），某天再次遇见了成为帝爱集团社长的大槻太郎，大槻告诉开司在某位有钱长者所举办的活动中，能够一获千金的机会…,赌博默示录3 カイジ ファイナルゲーム,藤原龙也/福士苍汰/关水渚,剧情
片长:,中国大陆,萨拉雷,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615551979.jpg,汉语普通话,5.8,韦琪 V7,该部作品是由《雄兵连》系列作品分支出来的核心环节。在该部大电影中，孙悟空以斗战胜佛身份出现，一个活在现代与外星文明对抗的超级英雄，与烈阳文明之间、帝蕾娜之间会有怎样一段巅峰对决？,烈阳天道,林强/云鹤追/赵成晨,科幻/动画
片长:,中国大陆,麦贯之,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614313063.jpg,汉语普通话,5.1,韩栋/张予曦/王艺曈/李若天/肖向飞/陶慧敏/温海波,"由蒲松龄原著《聊斋志异.连城》篇改编。

　　荒郊野地，客栈杀机，晋宁城内多名男子变干尸。谜案频发，风波直起，传说是女妖现世所为，真凶到底如何隐匿于人间？捉妖师顾仕杰与妖魔混战，侠魔斗法，天昏地暗。

　　史孝廉家二美齐聚，相貌倾国的连城巧遇同样是俏艳佳人的表姐宾娘，引得纨绔公子王化成垂涎，这番“势在必得”又引起怎样的腥风血雨",美人皮,韩栋/张予曦/王艺曈,爱情/悬疑/奇幻
2020-01-20,中国大陆,邱玉洁,68,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2581595568.jpg,汉语普通话,5.0,邱玉洁,钟童卉是一个默默无闻的平面模特，幼年时曾目睹母亲自杀，从此噩梦缠身。某天工作间隙，童卉接到了一封神秘的葬礼邀请信，死者是童卉的富豪姨妈。童卉来到了姨妈的偏僻豪宅，认识了隔壁温文尔雅的方太太，还结识了同来参加葬礼的帅哥李百乐。与此同时，母亲自杀时的场景又在童卉的噩梦中出现，更可怕的是，卧室的浴缸里渗出了血水。童卉随李百乐悄悄调查，看到姨妈的房间像是仍有人住。童卉的疑惑日渐增多，唯有李百乐的陪伴是她唯一的安慰。某日两人散步时却路遇一对歹徒，歹徒骂李百乐忘恩负义，改名换姓做起小白脸。当歹徒将李百乐的戒指抢走时，李百乐顿时像是换了一个人，他的眼神里露出惊恐和无奈，嘴里蹦出一个词：救我！,夺皮,安然/黄铄/鲍起静,悬疑/惊悚/恐怖
片长:,美国,尼古拉斯·佩谢,又,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571068461.jpg,英语,4.7,尼古拉斯·佩谢/杰夫·布勒/清水崇,一名年轻的单亲妈妈兼警探莫顿发现郊区的一间房子遭到一个复仇怨灵所诅咒，这使进入房子内的人都会惨死。进入被诅咒的屋子中的她们必须设法从中救出自己和她的儿子，以免受怨灵的袭击。,新咒怨(美版) The Grudge,安德丽娅·赖斯伯勒/德米安·比齐尔/约翰·赵,悬疑/恐怖
88分钟,美国,布兰登·特罗斯特,IMDb链,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615442468.jpg,英语,5.7,西蒙·里奇,由常与罗根合作的摄影师BrandonTrost执导，改编自刊登于2013年《纽约客》的中篇小说《SellOut》，原作者SimonRich写剧本。罗根一人分饰两角，之一是1920年代移民到美国的劳工HerschelGreenbaum，他不慎跌进了一缸泡菜，被腌了一百年，保持了完美的形态。百年后的如今，Greenbaum在纽约布鲁克林醒来，身体没有丝毫苍老。他去寻找自己现在的家人，却发现只有曾孙BenGreenbaum(也是罗根出演)尚存。Ben是个性格温和的程序猿，Herschel完全无法理解他。,美国泡菜 An American Pickle,塞斯·罗根/莎拉·斯努克/玛雅·厄斯金,喜剧
片长:,德国,库尼特·卡亚,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2598183803.jpg,德语 / 英语,6.5,库尼特·卡亚/约翰尼斯·昆克尔,《地产老千起落记》讲述了两个房地产骗子的崛起和没落。维克多·施泰纳（大卫·克劳斯饰）、盖瑞·福克兰（弗雷德里克·劳饰）和银行家尼可尔·克勒博（亚妮娜·乌泽饰）在短时间内暴富。但很快，他们就陷入了一个满是谎言、欺诈和欺骗的漩涡之中，而且越陷越深，直到某一刻，他们完全忘记了现实，不得不决定他们真正看重的是什么。,地产老千起落记 Betonrausch,大卫·克劳斯/弗雷德里克·劳/艾米丽·高斯,剧情/喜剧
片长:,韩国,崔元燮,又,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2583254358.jpg,韩语,6.5,崔元燮,"特务变身网漫作家，史上最ㄎㄧㄤ斜槓人生？

　　韩国国家情报局秘密组织「防牌鸢」，专将孤苦无依的小孩培训成顶尖特务，其中身手矫健的特务阿俊(权相佑饰)由魔鬼教头千德奎(郑俊镐饰)亲自训练，他快狠准的身手一举歼灭无数罪犯，成为恐怖份子都闻之丧胆的金牌特务…然阿俊心裡却有个小小梦想－成为超人气网路漫画家！

　　于是，他决定在一次任务中诈死脱身，隐姓埋名努力画画15年，但他的漫画却被网民嫌到爆，甚至被讥为靠太太美娜(黄雨瑟惠饰)养的中年鲁蛇。

　　某夜鬱鬱不得志的阿俊藉酒消愁，将他的特务人生画成漫画上传一夕爆红，无心之举掀起网民空前轰动，更引来情报局和恐怖份子的大追杀…",漫画威龙之大话特务 히트맨,权相宇/郑俊镐/黄雨瑟惠,喜剧/动作
