岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
税务会计,安徽翔胜科技有限公司,阜阳,4-6千/月,包吃包住 带薪年假 节日福利 五险 绩效奖金,合资,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/fuyang/133130752.html?s=sou_sou_soulb&t=0_0
财务会计主管(上班地点：江西上饶),江西正博实业有限公司,上饶,0.8-1.2万/月,五险一金 年终奖金 免费幼儿园 免费住宿 工龄津贴 节假日礼品,民营公司,5.0,6.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/shangrao/133130632.html?s=sou_sou_soulb&t=0_0
财务会计专员,深圳市智寻信息技术有限公司,深圳-宝安区,6-8千/月,弹性工作 五险一金 绩效奖金 节日福利 专业培训 通讯补贴,民营公司,5.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-baq/133130387.html?s=sou_sou_soulb&t=0_0
成本会计,哈尔滨途鸭企业管理有限公司,哈尔滨-香坊区,3-4.5千/月,绩效奖金 年终奖金 节日福利 全勤奖 五险,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/hadongbin-xfq/133130345.html?s=sou_sou_soulb&t=0_0
会计,广州招牌佬网络科技有限公司,广州-白云区,3.5-5千/月,节假日福利 全勤奖 弹性工作 餐饮补贴 有社保 工龄奖 带薪年假 公司旅游 住房补贴 包吃,民营公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou-byq/133130226.html?s=sou_sou_soulb&t=0_0
财务会计专员+***行政,深圳市盈旺德电子有限公司,深圳-宝安区,6-8千/月,绩效奖金 全勤奖 工作氛围好 购买社保 加班补贴 节日福利,民营公司,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-baq/133130166.html?s=sou_sou_soulb&t=0_0
财务管理部会计,中建实业（云南）有限公司,昆明-西山区,6-8千/月,五险一金 周末双休,国企,5.0,6.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/kunming-xsq/133130112.html?s=sou_sou_soulb&t=0_0
会计,金华德馨建材有限公司,金华,5-6千/月,节日福利 五险 单休 团建活动 餐饮补贴,民营公司,4.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/jinhua/133130085.html?s=sou_sou_soulb&t=0_0
聘会计助理+老带新+包住宿,郑州景辰电子科技有限公司,郑州-金水区,2.5-3千/月,五险一金 包住宿 90后团队 全勤奖 节日福利 公司聚餐 绩效奖金 带薪年假 专业培训,民营公司,5.0,10.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/jinshuiqu/133129759.html?s=sou_sou_soulb&t=0_0
会计,武汉暴风衣族服饰有限公司,武汉-硚口区,4.5-6千/月,五险一金 绩效奖金 全勤奖 节日福利 包吃 弹性工作 包住宿 专业培训,民营公司,2.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/wuhan-qkq/133129409.html?s=sou_sou_soulb&t=0_0
聘会计助理+老带新+包住宿,郑州嘉尚电子科技有限公司,郑州-金水区,2.5-3千/月,五险一金 包住宿 员工旅游 节日福利 带薪年假 专业培训 全勤奖 绩效奖金,民营公司,5.0,10.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/jinshuiqu/133129382.html?s=sou_sou_soulb&t=0_0
全盘会计,未来机器人（深圳）有限公司,深圳-福田区,1-2万/月,五险一金 免费班车 专业培训 绩效奖金 年终奖金 带薪年假 生日福利 节假日福利 员工旅游 交通补贴,合资,6.0,6.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-ftq/133129284.html?s=sou_sou_soulb&t=0_0
成本会计,浙江泰普森实业集团有限公司,湖州,0.8-1万/月,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训 免费班车 员工旅游 年终奖金 出国机会 周末双休,民营公司,6.0,5.0,2021-06-27 04:00:44,5000-10000人,https://jobs.51job.com/huzhou/133129203.html?s=sou_sou_soulb&t=0_0
高级会计师,深圳市有为信息技术发展有限公司,深圳-龙岗区,1-1.8万/月,五险一金 员工旅游 餐饮补贴 年底双薪 全勤奖 补充医疗保险 弹性工作 定期体检,民营公司,6.0,6.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-lgq/133129164.html?s=sou_sou_soulb&t=0_0
税务会计,广东弘博建筑装饰工程有限公司,广州-增城区,0.7-1万/月,补充医疗保险 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 包吃包住 孝亲金,民营公司,5.0,6.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/guangzhou-zcq/133129124.html?s=sou_sou_soulb&t=0_0
会计,东莞市明珊机械制造有限公司,东莞-厚街镇,6-9千/月,员工旅游 专业培训 通讯补贴 绩效奖金 生日礼金 五险 包吃包住,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/dongguan-hjz/133129052.html?s=sou_sou_soulb&t=0_0
成本会计,宁波卓尔汽车零部件有限公司,宁波,4.5-6千/月,绩效奖金 节日福利 专业培训 包吃 住房补贴 带薪年假 年度旅游 生日福利 年终奖金 晋升空间大,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/ningbo/133128903.html?s=sou_sou_soulb&t=0_0
会计,西安中宝汽车销售服务有限公司,西安-国家民用航天产业基地,4-6千/月,五险一金 员工旅游 专业培训 包吃,民营公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/xian-gjmyht/133128790.html?s=sou_sou_soulb&t=0_0
财务会计专员,深圳丹尼通讯数码有限公司,深圳-龙华区,6.5-8.5千/月,五险一金 绩效奖金 加班补贴 带薪年假 弹性工作 全勤奖,外资（欧美）,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-lhq/133128785.html?s=sou_sou_soulb&t=0_0
会计,合肥尊桃纺织品有限公司,合肥-瑶海区,4.5-6千/月,绩效奖金 年终奖金 弹性工作 专业培训 员工旅游 定期体检 通讯补贴 团队聚餐 出国机会 五险,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/hefei-yhq/133128727.html?s=sou_sou_soulb&t=0_0
财务会计专员,长沙市山水形新材料有限公司,娄底,4.5-6千/月,五险 绩效奖金 节日福利 包吃,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/loudi/133128687.html?s=sou_sou_soulb&t=0_0
总账会计,浙江公理财务管理有限公司,温州-鹿城区,6-8千/月,弹性工作 员工旅游 通讯补贴 专业培训 年终奖金 社保 餐饮补贴,民营公司,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/wenzhou-lcq/133128665.html?s=sou_sou_soulb&t=0_0
会计助理,深圳中升民康丰田汽车销售服务有限公司,深圳-龙华区,4.5-6千/月,带薪年假 五险一金 包吃 专业培训 节日福利 绩效奖金 公司旅游 不定期团建 定期检查,上市公司,6.0,3.0,2021-06-27 04:00:44,10000人以上,https://jobs.51job.com/shenzhen-lhq/133128477.html?s=sou_sou_soulb&t=0_0
成本会计,东莞市湘华五金科技有限公司,东莞-清溪镇,6-8千/月,五险一金 绩效奖金 定期体检 包吃住 补充公积金 员工旅游,民营公司,5.0,5.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/dongguan-qxz/133128421.html?s=sou_sou_soulb&t=0_0
信息会计,南京本涩女装,南京-浦口区,6-8千/月,节日福利 绩效奖金 餐饮补贴 加班补贴 带薪年假,民营公司,6.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/nanjing-pkq/133128327.html?s=sou_sou_soulb&t=0_0
会计助理/税务助理,福州劲建医药科技有限公司,福州-鼓楼区,4-6千/月,五险一金 员工旅游 满勤奖 提供工作餐 年终奖金 高温补贴,民营公司,5.0,3.0,2021-06-27 09:04:32,150-500人,https://jobs.51job.com/fuzhou-glq/130715521.html?s=sou_sou_soulb&t=0_0
