福利待遇,数量
尖端技术,1
就近安排,1
就餐补贴,1
岗位培训,1
岗位晋升,31
岗位补贴,2
岗位长期稳定,1
巅峰年会,1
工会福利,8
工作7小时,1
工作午餐,3
工作居住证,3
工作手机,1
工作日餐补,1
工作时间灵活,1
工作时间短,1
工作有挑战,1
工作服,1
工作氛围佳,1
工作氛围好,6
工作氛围良好,1
工作氛围轻松,3
工作环境优美,2
工作环境佳,2
工作环境好,2
工作茶点,1
工作轻松,1
工作餐,30
工作餐免费,1
工作餐或餐补,1
工装定制,1
工龄奖,12
工龄奖绩效奖,1
工龄奖金,1
工龄工资,9
工龄年假,1
工龄津贴,2
工龄补贴,4
巨大发展空间,1
差旅补贴,4
差旅补贴等,1
市场潜力巨大,1
帅哥美女多,1
带假年薪,1
带团队,1
带薪事假,1
带薪事病假,1
带薪休假,21
带薪假期,7
带薪假期多,1
带薪假期多多,1
带薪培训,4
带薪婚假,1
带薪寒假,2
带薪寒暑假,6
带薪年/病假,1
带薪年休,1
带薪年休假,6
带薪年假,1963
"带薪年假,",1
带薪年假13天,1
带薪年假15天,1
带薪年假病假,1
带薪旅游,2
带薪法定假,1
带薪生理假,1
带薪病假,30
帶薪年假,1
平台大,1
平台好,2
平均15薪,1
年休假,9
年会旅游,1
年会礼物,1
年会福利,1
年假,2
年假15天,1
年假社会工龄,1
年功工资,1
年均15薪,1
年底13薪,1
年底14薪,2
年底十三薪,2
年底双薪,92
年底奖金,2
年底涨薪,1
年底红包,1
年度2次调薪,1
年度体检,34
年度免费体检,3
年度免费旅游,1
年度加薪,1
年度双薪,1
年度团建,1
年度固定加薪,1
年度奖金,1
年度工资调整,1
年度旅游,25
"年度旅游,",1
年度旅行,1
年度礼品,1
年度福利体检,1
年度评优,1
年度评优调薪,1
年度调薪,9
年度调薪晋职,1
年末双薪,1
年末奖金,1
年终13/17薪,1
年终分红,12
年终双薪,22
年终奖,18
年终奖1-4月,1
年终奖2~4薪,1
年终奖丰厚,1
年终奖励,2
年终奖金,5028
年终效益奖金,1
年终绩效奖,2
年节日福利,1
年节礼金,1
年节福利,2
年轻团队,2
年轻有活力,1
年金,2
广阔晋升空间,1
应届生亦可,1
底薪优厚,1
店效补贴,1
开门红,2
弹性上下班,1
弹性工作,2201
弹性工作制,1
弹性工作制度,1
弹性工作时间,3
弹性打卡,1
弹性福利,1
很少加班,1
心情假,1
惠及员工,1
愉快生日会,1
愉悦,1
意外伤害险,2
意外保险,7
意外商业险,1
意外险,4
意外险/寿险,1
感恩薪金,1
慰问金,1
成长型企业,1
成长性行业,1
成长空间大,2
成长空间广阔,1
成长迅速,1
户外活动,1
房租补贴,3
房补,6
房贷贴息,1
扁平化,1
扁平化管理,17
扁平团队,1
扁平管理,20
技术分享,1
技术大咖云集,1
技术大咖多,1
技术大牛,1
技术大牛多,1
技术挑战高,2
技术氛围佳,1
技术氛围浓厚,2
技术领先,1
技能培训,6
技能提升,1
报销IT类费用,1
拓展团建活动,1
招商激励奖,1
拟上市公司,1
择优落户,1
按国家放假,1
按需加班,1
据情况加提成,1
探亲补贴,1
探亲费,1
提供三餐,1
提供中午餐,1
提供中餐,2
提供住宿,36
提供住宿资源,1
提供免费住宿,1
提供免费午餐,1
提供公租房,1
提供午餐,3
提供午餐晚餐,1
提供吃住,2
提供员工餐,1
提供宿舍,5
提供宿舍餐补,1
提供工作餐,3
提供教师公寓,1
提供早中餐,1
提供晚餐,1
提供班车,1
提供食堂,1
提供食宿,36
