西安立肯 / 长沙 / 游戏设计开发 / 学历不限 /,12001-20000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 网页设计制作 / 学历不限 /,10001-12000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 项目经理 / 学历不限 /,12001-20000元,带薪年假，员工体检，双休
西安立肯 / 长沙 / 前端工程师 / 学历不限 /,12001-20000元,带薪年假，员工体检，包住
西安立肯 / 长沙 / App开发工程师 / 学历不限 /,12001-20000元,房补，带薪年假，员工体检
西安立肯 / 长沙 / 项目经理 / 学历不限 /,5001-8000元,带薪年假，员工体检，包吃
西安立肯 / 长沙 / 软件工程师 / 学历不限 /,10001-12000元,带薪年假，员工体检，包吃
西安立肯 / 长沙 / 前端工程师 / 学历不限 /,10001-12000元,年底双薪，带薪年假，员工体检
西安立肯 / 长沙 / App开发工程师 / 学历不限 /,10001-12000元,带薪年假，员工体检，包吃
长沙米海电子有限公司 / 长沙 / 技术专员助理 / 学历不限 /,3001-5000元,包吃，包住
湖南力度教育咨询有限公司 / 芙蓉马王堆 / 程序员 / 学历不限 /,3001-5000元,
长沙新时玳教育有限公司 / 岳麓望城坡 / 其他 / 学历不限 /,3001-5000元,包吃，包住
188机械网 / 岳麓银盆岭 / 网站编辑 / 大专 /,5001-8000元,带薪年假，交通补助
驰海网络 / 长沙 / 网络推广 / 学历不限 /,5001-8000元,五险一金
驰海网络 / 长沙 / 其他 / 学历不限 /,5001-8000元,五险一金
驰海网络 / 长沙 / 网站编辑 / 学历不限 /,5001-8000元,五险一金
长沙华旭环保科技有限公司 / 望城 / 网络推广 / 学历不限 /,3001-5000元,
长沙华旭环保科技有限公司 / 望城 / 网络管理员 / 学历不限 /,3001-5000元,
长沙牛起鹏网络科技有限公司 / 长沙 / 网络推广 / 学历不限 /,3001-5000元,年底双薪，交通补助
湖南嘉合美络信息技术有限公司 / 岳麓银盆岭 / 网络工程师 / 大专 /,面议,话补，带薪年假，双休
木头人Mootow品牌营销机构 / 长沙 / 软件工程师 / 学历不限 /,面议,
info,salary,treatment
长沙沐海文化传播有限公司 / 岳麓银盆岭 / 网络推广 / 学历不限 / 9月15日,3001-5000元,包吃，包住
长沙纽扣美学化妆培训学校 / 芙蓉解放东路 / 网站运营 / 大专 /,8001-10000元,房补，带薪年假，交通补助
长沙战三国信息科技有限公司 / 长沙 / 网络推广 / 学历不限 /,3001-5000元,包吃，包住
无锡利宝电子科技有限公司 / 宁乡 / 网络管理员 / 学历不限 /,面议,话补，房补，年底双薪
苏州协利森精密机械有限公司 / 浏阳 / 网络管理员 / 学历不限 /,12001-20000元,话补，房补，年底双薪
苏州协利森精密机械有限公司 / 开福 / 网络管理员 / 学历不限 /,12001-20000元,话补，房补，年底双薪
