company_industry,company_introduction,company_name,company_size,company_type,level,number_recruiters,position,salary,update_time,work_location
,,,,,,,,,,
金融/银行/投资/基金/证券,接受金融机构委托从事金融信息技术外包服务，项目投资，投资管理，投资咨询，资产管理，经济贸易资讯，企业咨询管理等,北京众培商贸有限公司,20人以下,民营,,,,,,
咨询/管理产业/法律/财会,"公司简介北京中才之光教育科技有限公司是专业的会计远程教育基地，凭借优秀的师资力量、专业的交互式学习课件、先进的技术、灵活多样的学习方式，为广大财税追梦人提供财经类考试培训、继续教育、实务操作与就业服务，为全国近万户各类企业，提供财税咨询服务，已形成“考试培训、继续教育、实务操作、财税咨询、就业服务”多方位一体完善的教育体系，欢迎加盟“中才追梦人""！",北京中才之光教育科技有限公司,20人以下,http://www.bjyqzl.com,大专,1,培训策划,面议 ,2020-11-16,通州
建筑/装修,本公司主要营运施工总承包、专业承包、劳务分包：园林绿化工程施工、园林景观艺术设计、产品设计：委托加工工艺品、家具：旅游资源开发、种植苗木、花卉：销售工艺品、建筑材料、五金交电、家具、厨卫用具、门窗等。,华厚商贸（北京）有限公司,20人以下,其他,大专,2,销售3000-8000,面议 ,2020-11-13,高新
教育/培训,千帆少年教育（北京千帆少年教育科技有限公司）成立于2015年，总部位于北京顺义区绿地启航国际，学员遍及全国30个省份，累计培训学员10万余人次。目前主要开展大健康，学历提升有关证书、等方面培训业务。公司正以每年200%的速度增长，是一家快速发展的综合型互联网教育科技公司。千帆教育拥有一支思想创新，锐意进取的教研团队，特聘请知名学府资深教授及本行业国内一线专业讲师授课极具专业素质的专家任教，已...,北京千帆少年教育科技有限公司,20-99人,民营,不限,50,,8000-12000元 ,2020-11-19,顺义
贸易/交通/运输/物流,北京世纪车行天下商贸有限公司，成立于2008年，位于北京市五方天雅汽配城。营业面积1500㎡，库房面积2000㎡，拥有动态库存1500万左右，是集汽车改装配件、维修保养、装饰美容、划痕快修、保险于一体的专业汽车服务公司。主要经营Jeep、道奇、克莱斯勒全车系原车配件、原厂精品改装件及国外各大越野品牌进口改装件。其中原厂配件来源于本公司旗下分公司——JMS汽配商贸有限公司。...,北京世纪车行天下商贸有限公司,20-99人,http://jforce4x4.com,,,,,,
超市/百货/零售,本公司以食品销售为主，注重员工的长期发展，为员工提供良好的发展空间,深圳市龙岗区诺里贸易商行,20-99人,民营,不限,15,营业员/店员,8000-12000元 ,2020-11-15,丰台
教育/培训,北京万德航空服务培训中心招聘民航票务专员，月薪4000--10000+。五险一金。员工公寓。内部食堂就餐。（非中介，非劳务派遣，直接与用人单位签订就业合同。）就业岗位，国际，国内航班票务操作，预定，受理投诉等工作，定向工作单位，首都国际机场。联合，国际航空公司。东方，南方航空公司。北京华航，宝盛，博丰，华夏。小蜻蜓等航空公司，金色世纪旅行网。携程网。去哪网等。工作地北京，满工作一年可根据本人意愿调...,北京万德宏远教育科技有限公司,100-499人,股份制企业,高中,27,,5000-8000元 ,2020-11-17,其他
贸易/交通/运输/物流,公司是一家专业的现代物流运输企业，辐射京津冀，服务至上，客户第一。,京南快递（北京）有限公司,20-99人,民营,,,,,,
计算机/网络/通信,北京旷达上网服务有限公司位于北京市小汤山镇小汤山街口国金宾馆二楼网吧。,北京旷达上网服务有限公司,20人以下,其他,不限,1,网吧收银员,面议 ,2020-10-12,昌平
计算机/网络/通信,北京克兰西信息技术有限公司，拥有一支专业、团结、高效、敬业的服务队伍。良好的内部竞争机制和丰富系统的内部培训使每一位员工都拥有一份主人翁精神。在全体员工的共同努力下，逐渐形成了求实、稳健、积极的企业文化。我们信奉诚实、正直、努力、尊重的为人原则，精益求精，为我们客户创造价值。,北京克兰西信息技术有限公司,20-99人,民营,,,,,,
贸易/交通/运输/物流,"专门服务于幼儿园的食材配送企业,幼儿园全品类配送服务公司。目前服务于北京市30多家幼儿园",竹马先生（北京）科贸有限公司,20人以下,股份制企业,不限,10,分拣发货员,22元/小时 ,2020-10-12,北京
计算机/网络/通信,公司主营业务：在自主研发的电商平台上为用户提供奢侈品买卖服务。,枣庄柒禧电子科技有限公司,20-99人,http://w.shexiaodi.com,大专,7,网络客服,5000-8000元 ,2020-10-13,朝阳
医药/生物工程,综合性门诊内外中医科药品销售诊疗中药饮片销售·代煎中医坐堂把脉·针灸·骨伤推拿,北京禧来康医院管理有限公司百德馨康诊所,20人以下,民营,不限,2,,8000-12000元 ,2020-10-12,顺义
其它行业,北京海淀剧院是一家国有文化企业，座落于中关村科技园区的核心区，是中关村文化的重要组成部分，也是海淀区标志性建筑。剧院每年承接各种演出三百余场，电影上万场.,北京海淀剧院有限责任公司,20-99人,国企,不限,5,,3000-5000元 ,2020-10-13,海淀
政府/公共事业/非盈利机构,2019年11月成立的民办非营利机构，主要工作方向是配合政府相关部门在基层党群建设工作、精神文明实践工作、街道文化建设工作等方面深入实践，以中华优秀传统文化为核心，以专业社工方式倡导、培育、践行社会主义核心价值观，以文化建设增进党群融合，提升精神文明素养，促进社区治理创新。,北京春藤社会工作促进中心,20-99人,其他,大专,4,社会工作,5000-8000元 ,2020-10-12,海淀
计算机/网络/通信,海天同舟《Sintops》是一家专业的数据存储管理、信息安全IT解决方案、服务提供的高科技企业。公司具有多年的IT服务及项目实施经验。海天同舟致力于稳定、可靠、高性能的基础存储架构，同时融入了虚拟化、云计算的解决方案，量身定制的支持服务；我们的产品和方案、服务助力于您的业务方向，将大数据时代带来的机会转化给有准备的您；公司本着“以用户为中心”的理念，依靠团结高效的团队协作，结合国际先进的存储技术，...,北京海天同舟科技有限责任公司,20人以下,http://www.sintops.com,本科,2,,5000-8000元 ,2020-12-04,海淀
