ISBN,author,binding,comments,img_url,link,page,press,price,score,time,title,translator
9787559640901,[日]芥川龙之介,平装,106,https://img2.doubanio.com/view/subject/s/public/s33644092.jpg,https://book.douban.com/subject/35008015/,290,一頁folio | 北京联合出版公司,29.00,8.6,2020-6,芥川龙之介  妄想者手记,陈德文
9787514512182,[日] 小泉八云,68,229,https://img2.doubanio.com/view/subject/s/public/s30009192.jpg,https://book.douban.com/subject/30418942/,528,中国致公出版社,68,8.0,2019-4,怪谈,郭睿、王如胭、孟令堃
9787544247399,[日] 东野圭吾,平装,23223,https://img1.doubanio.com/view/subject/s/public/s4435059.jpg,https://book.douban.com/subject/4753783/,344,南海出版公司,28.00元,7.4,2010-8,分身,王维幸
9787223011297,[日] 田中芳树,19.80元,5663,https://img2.doubanio.com/view/subject/s/public/s28291162.jpg,https://book.douban.com/subject/1418999/,412,西藏人民出版社,19.80元,9.2,2004-7-1,银河英雄传说,蔡美娟
9787513323253,[日] 道尾秀介,平装,2488,https://img9.doubanio.com/view/subject/s/public/s29107086.jpg,https://book.douban.com/subject/26873412/,376,新星出版社,38.00,7.5,2016-10,向日葵不开的夏天,于彤彤
9787547436936,[日] 森见登美彦,59.8,82,https://img2.doubanio.com/view/subject/s/public/s33771913.jpg,https://book.douban.com/subject/35217608/,,山东画报出版社,59.8,8.6,,热带,高一君
9787020123384,[日] 又吉直树,38.00,3461,https://img1.doubanio.com/view/subject/s/public/s29453417.jpg,https://book.douban.com/subject/26969582/,154,人民文学出版社,38.00,7.7,2017-6,火花,毛丹青
9787541155000,[日] 本多孝好,45,1257,https://img2.doubanio.com/view/subject/s/public/s33594233.jpg,https://book.douban.com/subject/34799802/,256,文治图书·四川文艺出版社,45,7.2,2020-6,人生删除事务所,吕灵芝
9787532754076,佚名,精装,628,https://img1.doubanio.com/view/subject/s/public/s6983838.jpg,https://book.douban.com/subject/6038874/,538,上海译文出版社,53.00元,8.7,2011-12-1,平家物语,王新禧
9787020133314,[日] 东野圭吾,精装,3922,https://img3.doubanio.com/view/subject/s/public/s29561701.jpg,https://book.douban.com/subject/27125950/,288,人民文学出版社,49.90元,6.9,2017-10,第十年的情人节,朱田云
9787213096297,[日] 池井户润,平装,317,https://img3.doubanio.com/view/subject/s/public/s33628150.jpg,https://book.douban.com/subject/34941828/,519,浙江人民出版社,55.00元,8.2,2020-5,陆王,励立蓉、安素
9787544284585,[日] 东野圭吾,平装,1263,https://img3.doubanio.com/view/subject/s/public/s29085641.jpg,https://book.douban.com/subject/26888804/,384,南海出版公司,42.00元,7.6,2016-10,单恋,赵峻
9787532764488,[日] 太宰治,精装,2631,https://img2.doubanio.com/view/subject/s/public/s27257332.jpg,https://book.douban.com/subject/25814725/,255,上海译文出版社,35.00,8.8,2014-2,人间失格·斜阳,竺家荣
9787544755634,[日] 森茉莉,精装,737,https://img1.doubanio.com/view/subject/s/public/s28385958.jpg,https://book.douban.com/subject/26577701/,314,译林出版社,38.00,7.5,2016-3,我的美的世界,谢同宇
9787532764778,[日] 三岛由纪夫,精装,1769,https://img3.doubanio.com/view/subject/s/public/s27292730.jpg,https://book.douban.com/subject/25839618/,251,上海译文出版社,38,8.7,2014-4-1,仲夏之死,陈德文
9787509005163,[日] 乙一,平装,18768,https://img9.doubanio.com/view/subject/s/public/s3840924.jpg,https://book.douban.com/subject/3801097/,148,当代世界出版社,20.00,7.8,2009-6,夏天·烟火·我的尸体,王华懋
9787540493363,[日]森见登美彦,45.00,1227,https://img1.doubanio.com/view/subject/s/public/s33477697.jpg,https://book.douban.com/subject/34463603/,384,湖南文艺出版社,45.00,8.3,2019-9,太阳与少女,吴曦
9787555020752,[日] 西加奈子,39.8,440,https://img1.doubanio.com/view/subject/s/public/s33535348.jpg,https://book.douban.com/subject/34880830/,212,海峡文艺出版社,39.8,8.0,2019-12,草莓、极光与火焰,吴曦
9787544292900,[日]村上春树,精装,878,https://img3.doubanio.com/view/subject/s/public/s29782551.jpg,https://book.douban.com/subject/30203785/,360,南海出版公司,49.60元,8.6,2018-9-1,1Q84 BOOK2,施小炜
9787513323062,[日] 伊坂幸太郎,平装,4687,https://img1.doubanio.com/view/subject/s/public/s28950917.jpg,https://book.douban.com/subject/26846483/,376,新星出版社,38.00,8.2,2016-8,不然你搬去火星啊,星野空
9787559639257,[日] 三浦紫苑,42.00元,252,https://img9.doubanio.com/view/subject/s/public/s33552235.jpg,https://book.douban.com/subject/34937287/,304,文治图书·北京联合出版社,42.00元,8.2,2020-4-30,哪啊哪啊神去村,王蕴洁
9787544292870,岩井俊二,精装,5093,https://img1.doubanio.com/view/subject/s/public/s29775868.jpg,https://book.douban.com/subject/30230525/,184,南海出版公司,45.00元,8.9,2018-6-1,情书,穆晓芳
9787208128934,[日] 三浦紫苑,平装,4530,https://img2.doubanio.com/view/subject/s/public/s28344932.jpg,https://book.douban.com/subject/26358994/,255,上海人民出版社,32.00元,8.2,2016-1-1,真幌站前多田便利屋,田肖霞
9787508690070,[日]利利·弗兰克,45.00元,429,https://img1.doubanio.com/view/subject/s/public/s29952608.jpg,https://book.douban.com/subject/30251580/,299,中信出版集团,45.00元,9.0,2018-7,东京塔,李颖秋
9787559623287,[日] 东野圭吾,平装,4298,https://img1.doubanio.com/view/subject/s/public/s29963217.jpg,https://book.douban.com/subject/30380271/,336,北京联合出版公司,45.00元,6.0,2018-12,危险的维纳斯,星野空
9787544771177,[日] 藤泽周平,精装,699,https://img1.doubanio.com/view/subject/s/public/s29831797.jpg,https://book.douban.com/subject/27169514/,451,译林出版社,65.00,8.9,2018-8,蝉时雨,高詹灿
9787201126548,[日] Keigo（河尻圭吾）,平装,5852,https://img3.doubanio.com/view/subject/s/public/s29748861.jpg,https://book.douban.com/subject/30191460/,224,天津人民出版社,49.80,8.3,2018-5,我的生活不可能那么坏,雅众文化
9787020115778,[日] 乙一,平装,2198,https://img9.doubanio.com/view/subject/s/public/s28703076.jpg,https://book.douban.com/subject/26775247/,276,人民文学出版社,39.80,8.0,2016-6,箱庭图书馆,潘璐
9787544280570,[日] 伊坂幸太郎,精装,4680,https://img2.doubanio.com/view/subject/s/public/s33516463.jpg,https://book.douban.com/subject/34778578/,288,南海出版公司,58.00,8.3,2019-11-1,恐妻家,边大玉
9787533958688,[日] 远藤周作,精装,120,https://img1.doubanio.com/view/subject/s/public/s33625449.jpg,https://book.douban.com/subject/34856730/,395,浙江文艺出版社,69.00元,9.0,2020-1,武士,林水福
9787532770342,[日] 太宰治,精装,3084,https://img3.doubanio.com/view/subject/s/public/s28462810.jpg,https://book.douban.com/subject/26577688/,190,上海译文出版社,32.00,8.6,2016-1-1,斜阳,竺家荣
9787806795095,佐野洋子,28.00元,13913,https://img9.doubanio.com/view/subject/s/public/s1673084.jpg,https://book.douban.com/subject/1257365/,30,接力出版社,28.00元,9.0,2004-10,活了100万次的猫,唐亚明
9787533946739,（日）夏目漱石,平装,2735,https://img9.doubanio.com/view/subject/s/public/s29610224.jpg,https://book.douban.com/subject/26933790/,208,浙江文艺出版社,32.00元,8.4,2017-1,少爷,徐建雄
9787544294126,[日]东野圭吾,精装,2296,https://img2.doubanio.com/view/subject/s/public/s30007923.jpg,https://book.douban.com/subject/30317422/,267,南海出版公司,49.50元,7.4,2019-3,毕业,黄真
9787532773725,[日] 夏目漱石,精装,515,https://img1.doubanio.com/view/subject/s/public/s29428369.jpg,https://book.douban.com/subject/26877749/,261,上海译文出版社,39.00,8.4,2017-3-1,三四郎,吴树文
9787559637291,[日] 伊坂幸太郎,平装,1176,https://img1.doubanio.com/view/subject/s/public/s33640048.jpg,https://book.douban.com/subject/35040230/,280,北京联合出版公司,48.00元,7.7,2020-6,双子星,代珂
9787532749447,[日] 青山七惠,精装,16112,https://img1.doubanio.com/view/subject/s/public/s4102527.jpg,https://book.douban.com/subject/4173403/,166,上海译文出版社,20.00元,7.7,2010-1,温柔的叹息,竺家荣
9787544291811,[日]东野圭吾,精装,1958,https://img3.doubanio.com/view/subject/s/public/s29968890.jpg,https://book.douban.com/subject/27666929/,528,南海出版公司,59.6,7.3,2018-5,幻夜,李炜
9787533962265,(日) 伊坂幸太郎,平装,116,https://img1.doubanio.com/view/subject/s/public/s33763687.jpg,https://book.douban.com/subject/35217434/,328,浙江文艺出版社,49.80,6.9,2020-11,梦境救援,高一君
9787532744497,（日）三岛由纪夫,平装,10972,https://img1.doubanio.com/view/subject/s/public/s3511607.jpg,https://book.douban.com/subject/3391246/,140,上海译文出版社,15.00,8.2,2009-1,潮骚,唐月梅
9787544249409,[日]黑泽明,精装,3115,https://img2.doubanio.com/view/subject/s/public/s27325332.jpg,https://book.douban.com/subject/25903505/,272,南海出版公司,39.50元,8.5,2014-8,蛤蟆的油,李正伦
9787532771097,谷崎润一郎,精装,2092,https://img1.doubanio.com/view/subject/s/public/s28394218.jpg,https://book.douban.com/subject/26666029/,173,上海译文出版社,CNY 35.00,8.0,2016-1-1,阴翳礼赞,陈德文
9789571350813,湊佳苗、湊かなえ,NTD250元,27707,https://img2.doubanio.com/view/subject/s/public/s33712373.jpg,https://book.douban.com/subject/3920130/,224,時報文化,NTD250元,8.6,2009-8,告白,丁世佳
9787511380760,[日] 宫部美雪,平装,65,https://img1.doubanio.com/view/subject/s/public/s33715398.jpg,https://book.douban.com/subject/34895682/,48,中国华侨出版社,48,7.5,2020-9,怪谈百物语：哭泣童子,高詹燦
9787559422538,芥川龙之介,48.00,1712,https://img2.doubanio.com/view/subject/s/public/s29953233.jpg,https://book.douban.com/subject/30244065/,290,江苏凤凰文艺出版社,48.00,8.2,2018-9-1,地狱变,青禾
9787020136759,[日]三浦紫苑,49.00元,1616,https://img9.doubanio.com/view/subject/s/public/s29807074.jpg,https://book.douban.com/subject/27663281/,252,人民文学出版社,49.00元,8.5,2018-6,编舟记,蒋葳
9787222155428,[日] 高村光太郎,32.00元,4342,https://img2.doubanio.com/view/subject/s/public/s29344743.jpg,https://book.douban.com/subject/26938527/,128,云南人民出版社,32.00元,7.8,2017-1,山之四季,王珏
9787503310119,芥川龙之介,简装,3257,https://img2.doubanio.com/view/subject/s/public/s28038043.jpg,https://book.douban.com/subject/2062557/,223,解放军文艺出版社,8.00,9.3,1999年,地狱变,楼适夷、文洁若
9787201141176,[日]石川啄木,592,1419,https://img9.doubanio.com/view/subject/s/public/s33669996.jpg,https://book.douban.com/subject/30316751/,,天津人民出版社,58.00,8.4,,石川啄木短歌,周作人
9787535476784,[日]川村元气,38元,6409,https://img2.doubanio.com/view/subject/s/public/s32326172.jpg,https://book.douban.com/subject/26242908/,214,长江文艺出版社,38元,7.5,2014-11-20,如果世上不再有猫,王蕴洁
9787559620132,[日] 吉竹伸介,49.80元,979,https://img1.doubanio.com/view/subject/s/public/s29797138.jpg,https://book.douban.com/subject/30252127/,,后浪丨北京联合出版公司,49.80元,7.9,,今天也要好好地过,汪婷
9787541146640,[日] 太宰治,42.80元,3447,https://img1.doubanio.com/view/subject/s/public/s29450549.jpg,https://book.douban.com/subject/27042834/,296,四川文艺出版社,42.80元,8.1,2017-6,小说灯笼,陈系美
9787208137004,[日] 吉田修一,平装,6160,https://img1.doubanio.com/view/subject/s/public/s28873148.jpg,https://book.douban.com/subject/26760976/,396,上海人民出版社,42.00元,8.4,2016-7-31,怒,岳远坤
9787559627490,[日]小林一茶,精装,3056,https://img9.doubanio.com/view/subject/s/public/s30017714.jpg,https://book.douban.com/subject/30355936/,208,雅众文化,2019-3,7.8,2019-3,这世界如露水般短暂,陈黎、张芬龄
9787544276207,[日] 东野圭吾,平装,10482,https://img1.doubanio.com/view/subject/s/public/s28035637.jpg,https://book.douban.com/subject/26298572/,327,南海出版公司,39.5,7.9,2015-4-1,彷徨之刃,刘珮瑄
9787539999166,太宰治,平装,3869,https://img9.doubanio.com/view/subject/s/public/s29961784.jpg,https://book.douban.com/subject/30190063/,304,读客图书·江苏凤凰文艺出版社,39.90元,8.2,2018-4-1,人间失格,陆求实
9787559437426,夏目漱石,平装,207,https://img1.doubanio.com/view/subject/s/public/s33519558.jpg,https://book.douban.com/subject/33445295/,464,江苏凤凰文艺出版社,45.90,8.8,2019-11-1,我是猫,黄悦生
9787532744398,[日] 三岛由纪夫,平装,6619,https://img3.doubanio.com/view/subject/s/public/s3511611.jpg,https://book.douban.com/subject/3391245/,165,上海译文出版社,18.00,8.4,2009-1,假面自白,唐月梅
9787544749107,[日]北野武,29,8144,https://img9.doubanio.com/view/subject/s/public/s27997234.jpg,https://book.douban.com/subject/25944034/,138,译林出版社,29,8.6,2015-2,菊次郎与佐纪,陈宝莲
9787550293151,[日] 东野圭吾,平装,18219,https://img2.doubanio.com/view/subject/s/public/s29195703.jpg,https://book.douban.com/subject/26920165/,368,北京联合出版公司,39.80元,6.8,2017-1,拉普拉斯的魔女,王蕴洁
9789571383583,村上春樹、高妍（繪）,精装,97,https://img3.doubanio.com/view/subject/s/public/s33734600.jpg,https://book.douban.com/subject/35216707/,104,時報,NTD499.00,8.7,2020-9-29,棄貓,賴明珠
